2023-10-05 20:10:03,635 INFO    MainThread:4200 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_setup.py:_flush():76] Configure stats pid to 4200
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Ghiki\.config\wandb\settings
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Ghiki\Documents\Github\Multidomain--Multimodal-and-Multilingual-Machine-Generated-Text-Detection\SubtaskA\wandb\settings
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:_log_setup():528] Logging user logs to c:\Users\Ghiki\Documents\Github\Multidomain--Multimodal-and-Multilingual-Machine-Generated-Text-Detection\SubtaskA\wandb\run-20231005_201003-e64ki17u\logs\debug.log
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:_log_setup():529] Logging internal logs to c:\Users\Ghiki\Documents\Github\Multidomain--Multimodal-and-Multilingual-Machine-Generated-Text-Detection\SubtaskA\wandb\run-20231005_201003-e64ki17u\logs\debug-internal.log
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:_jupyter_setup():474] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001C58590B550>
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:init():568] calling init triggers
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:init():618] starting backend
2023-10-05 20:10:03,636 INFO    MainThread:4200 [wandb_init.py:init():622] setting up manager
2023-10-05 20:10:03,638 INFO    MainThread:4200 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-10-05 20:10:03,639 INFO    MainThread:4200 [wandb_init.py:init():628] backend started and connected
2023-10-05 20:10:03,641 INFO    MainThread:4200 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-10-05 20:10:03,641 INFO    MainThread:4200 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-10-05 20:10:03,641 INFO    MainThread:4200 [wandb_init.py:init():720] updated telemetry
2023-10-05 20:10:03,669 INFO    MainThread:4200 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-05 20:10:04,109 INFO    MainThread:4200 [wandb_run.py:_on_init():2220] communicating current version
2023-10-05 20:10:04,198 INFO    MainThread:4200 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.15.12 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-10-05 20:10:04,198 INFO    MainThread:4200 [wandb_init.py:init():804] starting run threads in backend
2023-10-05 20:10:04,286 INFO    MainThread:4200 [wandb_run.py:_console_start():2199] atexit reg
2023-10-05 20:10:04,286 INFO    MainThread:4200 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-05 20:10:04,286 INFO    MainThread:4200 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-05 20:10:04,286 INFO    MainThread:4200 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-05 20:10:04,287 INFO    MainThread:4200 [wandb_init.py:init():845] run started, returning control to user process
